movieId,tmdbId,title,original_title,overview,release_date,poster_path,backdrop_path,tmdb_vote,vote_count,popularity,dtype
551,551,The Poseidon Adventure,The Poseidon Adventure,"When their ocean liner capsizes, a group of passengers struggle to survive and escape.",1972-12-01,/6RGiA5BfhelU9zoD0b1GAG4GWWf.jpg,/ejLsnT6KmMpvtoPHMp40m54hRDd.jpg,7.092,960,2.297,MOVIE
16084,16084,Freaky Friday,Freaky Friday,"School girl Annabel is hassled by her mother, and Mrs. Andrews is annoyed with her daughter, Annabel. They both think that the other has an easy life. On a normal Friday morning, both complain about each other and wish they could have the easy life of their daughter/mother for just one day and their wishes come true as a bit of magic puts Annabel in Mrs. Andrews' body and vice versa. They both have a Freaky Friday.",1976-12-17,/ensFUbvS08uvG0xJze1MqhhjQJ1.jpg,/wsapbputwZHPNUy3fLnEjmc7QZw.jpg,6.111,296,1.2415,MOVIE
17984,17984,The Absent-Minded Professor,The Absent-Minded Professor,"Bumbling professor Ned Brainard accidentally invents flying rubber, or ""Flubber"", an incredible material that gains energy every time it strikes a hard surface. It allows for the invention of shoes that can allow jumps of amazing heights and enables a modified Model-T to fly. Unfortunately, no one is interested in the material except for Alonzo Hawk, a corrupt businessman who wants to steal the material for himself.",1961-01-20,/gCnuDDqoyaBdeeItQ4BjKtYpzF6.jpg,/lVceRZ2dc1XJQQBfLuwzhUWPhz1.jpg,6.479,192,1.0864,MOVIE
22328,22328,The Apple Dumpling Gang Rides Again,The Apple Dumpling Gang Rides Again,"Amos and Theodore, the two bumbling outlaw wannabes from The Apple Dumpling Gang, are back and trying to make it on their own. This time, the crazy duo gets involved in an army supply theft case -- and, of course, gets in lots of comic trouble along the way!",1979-06-27,/oPGACB1ZfPM9bKlQva2TFpCkWSD.jpg,/4U5jyrK8UmbgPGZXBOSxvfqi3eG.jpg,6.479,71,0.401,MOVIE
32611,32611,Babes in Toyland,Babes in Toyland,"All roads lead to magical, merry Toyland as Mary Contrary and Tom Piper prepare for their wedding! But villainous Barnaby wants Mary for himself, so he kidnaps Tom, setting off a series of comic chases, searches, and double-crosses! The ""March Of The Wooden Soldiers"" helps put Barnaby in his place, and ensures a ""happily ever after"" for Tom and Mary!",1961-12-14,/pPNVXVQTCgdUiIiyxxYlTTqkgiZ.jpg,/by47BadpbtQYdPyOLmvbnoSxmYR.jpg,5.8,104,1.5347,MOVIE
3170,3170,Bambi,Bambi,"Bambi's tale unfolds from season to season as the young prince of the forest learns about life, love, and friends.",1942-08-14,/wV9e2y4myJ4KMFsyFfWYcUOawyK.jpg,/1ZKHzSGJm0kvlCp4echAOtKnDTm.jpg,7.01,5933,6.1578,MOVIE
346,346,Seven Samurai,七人の侍,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",1954-04-26,/lOMGc8bnSwQhS4XyE1S99uH8NXf.jpg,/qvZ91FwMq6O47VViAr8vZNQz3WI.jpg,8.449,4094,6.5644,MOVIE
859,859,Dangerous Liaisons,Dangerous Liaisons,"In 18th century France, Marquise de Merteuil asks her ex-lover Vicomte de Valmont to seduce the future wife of another ex-lover of hers in return for one last night with her. Yet things don’t go as planned.",1988-12-21,/eNvJXuTQ7lusuUrIvS7wplORXBX.jpg,/2gm0EEn4RsfvOOV20GOZrwAZ5mA.jpg,7.19,1241,3.3498,MOVIE
841,841,Dune,Dune,"In the year 10,191, the most precious substance in the universe is the spice Melange. The spice extends life. The spice expands consciousness. The spice is vital to space travel.  The spice exists on only one planet in the entire universe, the vast desert planet Arrakis, also known as Dune.  Its native inhabitants, the Fremen, have long held a prophecy that a man would come, a messiah who would lead them to true freedom.",1984-12-14,/4kJmUCE7mkVJjXa7A0g2rY4IGTm.jpg,/5wJ2tckpvwcxGCAgZiccodwEJpf.jpg,6.183,3328,4.3588,MOVIE
11051,11051,The Last Temptation of Christ,The Last Temptation of Christ,"Jesus, a humble Judean carpenter beginning to see that he is the son of God, is drawn into revolutionary action against the Roman occupiers by Judas -- despite his protestations that love, not violence, is the path to salvation. The burden of being the savior of mankind torments Jesus throughout his life, leading him to doubt.",1988-05-28,/7L4qwrC1mipZXJfU5oRgQWChLv1.jpg,/rBqdcQeM1h05YjF9rFtPWnNaDO2.jpg,7.21,1159,2.3868,MOVIE
242,242,The Godfather Part III,The Godfather Part III,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.",1990-12-25,/lm3pQ2QoQ16pextRsmnUbG2onES.jpg,/8zhviPFJx25k8PbUOUL5sLOy9XE.jpg,7.42,6684,8.69,MOVIE
1411,1411,The Rapture,The Rapture,"A lonely telephone operator leading an empty, amoral life finds God – only to have her faith continually tested in ways beyond what she could have imagined.",1991-10-04,/4EkFm13ecqO0eszr7OKT8vf1YjJ.jpg,/ylXFsNIhzq8A5nEqLhPdDYPOnVo.jpg,5.723,92,0.8909,MOVIE
9769,9769,Lolita,Lolita,"Humbert Humbert is a middle-aged British novelist who is both appalled by and attracted to the vulgarity of American culture. When he comes to stay at the boarding house run by Charlotte Haze, he soon becomes obsessed with Lolita, the woman's teenaged daughter.",1997-09-27,/9INcC14WZjCMKGE360VXmklCLdZ.jpg,/b9diKSmofRcgjbUxDrSPms82yAN.jpg,7.109,1921,12.4317,MOVIE
9424,9424,Disturbing Behavior,Disturbing Behavior,"Steve Clark is a newcomer in the town of Cradle Bay, and he quickly realizes that there's something odd about his high school classmates. The clique known as the ""Blue Ribbons"" are the eerie embodiment of academic excellence and clean living. But, like the rest of the town, they're a little too perfect. When Steve's rebellious friend Gavin mysteriously joins their ranks, Steve searches for the truth with fellow misfit Rachel.",1998-07-24,/uAhvaueOUUQ6ORCRdsJr1WXz1w0.jpg,/9bMAhzkuvwSXdxUIoFrYuAvkxDU.jpg,5.776,406,1.0673,MOVIE
9835,9835,Jane Austen's Mafia!,Jane Austen's Mafia!,"After growing up poor in Salmonella, Vincenzo Cortino installs himself as the preeminent, if bumbling, Mafia don of the New World. But now he must pass on power to one of his two sons: either level-headed veteran Anthony or vituperative loose cannon Joey.",1998-07-24,/gGgirOcInrfjWgemKMjvZc3fGtU.jpg,/fyhxTKsJ3x47z9rgMvkqL1haT6S.jpg,5.432,207,1.1124,MOVIE
